ip_address,ip_type
13.107.6.152/31,IPv4
13.107.6.171/32,IPv4
13.107.6.192/32,IPv4
13.107.9.192/32,IPv4
13.107.18.10/31,IPv4
13.107.18.15/32,IPv4
13.107.128.0/22,IPv4
13.107.136.0/22,IPv4
13.107.140.6/32,IPv4
20.20.32.0/19,IPv4
20.190.128.0/18,IPv4
20.231.128.0/19,IPv4
23.103.160.0/20,IPv4
40.92.0.0/15,IPv4
40.96.0.0/13,IPv4
40.104.0.0/15,IPv4
40.107.0.0/16,IPv4
40.108.128.0/17,IPv4
40.126.0.0/18,IPv4
52.96.0.0/14,IPv4
52.100.0.0/14,IPv4
52.104.0.0/14,IPv4
52.108.0.0/14,IPv4
52.112.0.0/14,IPv4
52.122.0.0/15,IPv4
52.238.78.88/32,IPv4
52.244.37.168/32,IPv4
104.47.0.0/17,IPv4
104.146.128.0/17,IPv4
131.253.33.215/32,IPv4
132.245.0.0/16,IPv4
150.171.32.0/22,IPv4
150.171.40.0/22,IPv4
204.79.197.215/32,IPv4
2603:1006::/40,IPv6
2603:1006:1400::/40,IPv6
2603:1006:2000::/48,IPv6
2603:1007:200::/48,IPv6
2603:1016::/36,IPv6
2603:1016:1400::/48,IPv6
2603:1016:2400::/40,IPv6
2603:1017::/48,IPv6
2603:1026::/36,IPv6
2603:1026:2400::/40,IPv6
2603:1026:3000::/48,IPv6
2603:1027::/48,IPv6
2603:1027:1::/48,IPv6
2603:1036::/36,IPv6
2603:1036:2400::/40,IPv6
2603:1036:3000::/48,IPv6
2603:1037::/48,IPv6
2603:1037:1::/48,IPv6
2603:1046::/36,IPv6
2603:1046:1400::/40,IPv6
2603:1046:2000::/48,IPv6
2603:1047::/48,IPv6
2603:1047:1::/48,IPv6
2603:1056::/36,IPv6
2603:1056:1400::/40,IPv6
2603:1056:2000::/48,IPv6
2603:1057::/48,IPv6
2603:1057:2::/48,IPv6
2603:1061:1300::/40,IPv6
2603:1063::/38,IPv6
2603:1063:2000::/38,IPv6
2603:1063:6000::/35,IPv6
2620:1ec:4::152/128,IPv6
2620:1ec:4::153/128,IPv6
2620:1ec:4::192/128,IPv6
2620:1ec:6::/48,IPv6
2620:1ec:c::10/128,IPv6
2620:1ec:c::11/128,IPv6
2620:1ec:c::15/128,IPv6
2620:1ec:d::10/128,IPv6
2620:1ec:d::11/128,IPv6
2620:1ec:40::/42,IPv6
2620:1ec:8f0::/46,IPv6
2620:1ec:8f8::/46,IPv6
2620:1ec:8fc::6/128,IPv6
2620:1ec:900::/46,IPv6
2620:1ec:908::/46,IPv6
2620:1ec:a92::152/128,IPv6
2620:1ec:a92::153/128,IPv6
2620:1ec:a92::171/128,IPv6
2620:1ec:a92::192/128,IPv6
2a01:111:f100:2000::a83e:3019/128,IPv6
2a01:111:f100:2002::8975:2d79/128,IPv6
2a01:111:f100:2002::8975:2da8/128,IPv6
2a01:111:f100:7000::6fdd:6cd5/128,IPv6
2a01:111:f100:a004::bfeb:88cf/128,IPv6
2a01:111:f400::/48,IPv6
2a01:111:f402::/48,IPv6
2a01:111:f403::/48,IPv6
